Code,Spp,Tow Date,Tow_ID,Tow_num,Picture Date,Time Start-End,Notes,Measurements
00800,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,8.9
00801,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,9
00802,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,7.5
00803,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,8.5
00804,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,8
00805,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,9
00806,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,No right eye,6.5
00807,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,9
00808,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,8
00809,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,7.5
00810,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,8.5
00811,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,7
00812,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,8
00813,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,6
00814,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,6
00815,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,11
00816,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,8.5
00817,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,9
00818,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,8.5
00819,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,10
00820,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,9
00821,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,7
00822,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,7.5
00823,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,6
00824,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,10
00825,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,8
00826,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,7
00827,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,10
00828,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,5
00829,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,7
00830,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,No right eye,8
00831,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,8
00832,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,7
00833,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,11.5
00834,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,13
00835,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,9
00836,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,10.5
00837,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,9.5
00838,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,9
00839,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,6
00840,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,9
00841,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,10
00842,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,9.5
00843,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,10
00844,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,9
00845,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,7.5
00846,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,11
00847,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,5.5
00848,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,6
00849,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,10
00850,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,8
00851,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,9.5
00852,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,10
00853,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,11
00854,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,13
00855,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,14
00856,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,12
00857,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,11
00858,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,7
00859,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,11
00860,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,12
