Code,standardlength,totallength,bodydepthpectoral,bodydepthanus,propulsivearea,bodyarea,musclearea,eyediameter,caudalpeduncledepth,caudalfinheight,caudalfinarea,bodywidth,interorbitalwidth,Date,region,SST
199,11.7704,14.58,3.322,2.4014,20.9603,27.0806,12.0043,0.8205,1.0123,1.4969,4.2031,1.3955,0.7085,2017-11-06,NJ,16.5
200,8.7963,10.8449,2.5447,2.033,13.9691,16.2445,9.2385,0.5643,0.7539,0.955,2.2142,1.2421,0.6814,2017-11-06,NJ,16.5
201,9.5025,11.5747,2.6082,1.9595,13.5328,17.6029,8.4082,0.5081,0.7161,1.1516,2.5154,1.1741,0.7391,2017-11-06,NJ,16.5
202,9.2192,11.5513,2.5746000000000002,2.08,13.3729,16.0391,7.6769,0.6171,0.7078,1.3384,2.7601,1.407,0.8668,2017-11-06,NJ,16.5
203,10.7153,12.6373,2.9822,2.1226,15.0499,24.0269,9.049,0.8077,0.7594,1.6006,3.1571,1.4468,1.3082,2017-11-06,NJ,16.5
209,8.4082,10.9074,2.3477,2.2044,13.5566,14.6844,8.143,0.6238,0.6983,0.9999,2.5888,1.261,0.7372,2017-11-06,NJ,16.5
210,9.5515,11.4324,2.547,2.3699,13.2239,17.625,8.5092,0.5984,0.7514,0.9592,2.3704,1.3955,0.7874,2017-11-06,NJ,16.5
211,9.2789,11.632,2.6634,2.3163,13.1469,18.8357,8.4061,0.685,0.7191,1.1551,2.1773,1.4802,0.8275,2017-11-06,NJ,16.5
212,9.0649,10.777,2.5276,1.8558,13.5572,16.4256,9.7343,0.5716,0.6612,1.2149,2.2779,1.1406,0.727,2017-11-06,NJ,16.5
213,10.5639,12.7636,3.0599,2.3071,15.6769,22.4691,10.3845,0.6548,0.7508,1.1158,2.8895,1.4399,0.9198,2017-11-06,NJ,16.5
214,9.6832,12.4199,2.614,2.0893,14.6239,18.1393,8.8541,0.6491,0.6897,1.2105,2.6355,1.294,0.5872,2017-11-06,NJ,16.5
215,8.4985,10.6512,2.4829,1.7902,12.6039,14.2065,7.2766,0.6086,0.7027,1.1636,2.7124,1.2535,0.7612,2017-11-06,NJ,16.5
216,8.2356,10.3227,2.3734,1.8389,11.5897,14.3295,6.9954,0.6618,0.75,1.4707,2.6701,1.0682,0.6622,2017-11-06,NJ,16.5
217,8.3786,9.6843,2.3153,1.7915,10.1294,13.3108,6.3093,0.6272,0.6965,0.988,1.706,1.0256,0.6568,2017-11-06,NJ,16.5
218,11.8811,14.664,3.1877,2.4924,19.497,24.8882,11.4915,0.7997,0.7136,1.4651,3.5419,1.4197,0.7292,2017-11-06,NJ,16.5
