spp_num,Standardlength,Totallength,Depthatpec,Depthatanus,Pulsearea,Musclearea,Bodyarea,Cauddepth,Caudheight,Caudarea,Bodywidth,Interoctdistance,Eyediameter,Code,Spp,Tow_date,Tow_ID,Tow_num,Picture Date,Time Start-End,Notes,Measurements,Genus,Species,Survey.x,Preserve,Number,Location.x,...1,Survey.y,Location.y,Time,Sudo,Bodo,SuSal,BoSal,SuTemp,BoTemp,Tide,Depth,LatDeg,Latitude,LongDeg,LONGITUD,Secchi,SuPH,BoPH,Northing,Easting,UTM,Edit,year
1,8.6973,10.6178,2.6335,1.4799,12.2214,7.6609,14.9933,0.6728,1.3695,2.2777,0.695,0.8037,0.7216,00800,Micropogonias undulatus,1995-08-09,ICHP-95-0848,1,"June 6, 2022",0302-0332,NA,8.9,Micropogonias,undulatus,ICHPLAN,ETOH,16,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
2,6.9768,8.241,2.0375,0.9295,6.5965,3.9852,9.4605,0.5904,1.072,1.4313,0.4681,0.7216,0.4829,00801,Micropogonias undulatus,1995-08-09,ICHP-95-0848,1,"June 6, 2022",0302-0332,NA,9,Micropogonias,undulatus,ICHPLAN,ETOH,16,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
3,5.5096,6.2583,1.4228,0.8664,3.8496,2.5061,5.3059,0.382,0.7629,0.7061,0.3345,0.7247,0.468,00802,Micropogonias undulatus,1995-08-09,ICHP-95-0848,1,"June 6, 2022",0302-0332,NA,7.5,Micropogonias,undulatus,ICHPLAN,ETOH,16,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
4,7.4312,8.8243,2.1203,1.0796,8.8205,5.3022,10.5366,0.6088,0.9284,1.2864,0.4437,0.8734,0.6204,00803,Micropogonias undulatus,1995-08-09,ICHP-95-0848,1,"June 6, 2022",0302-0332,NA,8.5,Micropogonias,undulatus,ICHPLAN,ETOH,16,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
5,6.6676,7.0985,1.839,0.9805,6.1694,4.132,8.6665,0.5092,0.8599,0.5647,0.3249,0.7759,0.4892,00804,Micropogonias undulatus,1995-08-09,ICHP-95-0848,1,"June 6, 2022",0302-0332,NA,8,Micropogonias,undulatus,ICHPLAN,ETOH,16,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
6,8.1331,9.7237,2.4224,1.2228,9.8234,5.3158,13.0869,0.7888,1.2396,1.8825,0.4518,0.7895,0.6134,00805,Micropogonias undulatus,1995-08-09,ICHP-95-0848,1,"June 6, 2022",0302-0332,NA,9,Micropogonias,undulatus,ICHPLAN,ETOH,16,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
7,5.1929,6.0765,1.41,0.8021,4.319,2.4245,5.2805,0.3899,0.6725,0.5568,0.3867,0.6563,0.4499,00806,Micropogonias undulatus,1995-08-09,ICHP-95-0848,1,"June 6, 2022",0302-0332,No right eye,6.5,Micropogonias,undulatus,ICHPLAN,ETOH,16,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
8,7.6911,8.5495,2.3732,1.1349,6.9577,4.3499,11.5904,0.5677,0.6485,0.8247,0.4464,0.8299,0.6008,00807,Micropogonias undulatus,1995-08-09,ICHP-95-0848,1,"June 6, 2022",0302-0332,NA,9,Micropogonias,undulatus,ICHPLAN,ETOH,16,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
9,7.0502,8.0155,1.997,0.9547,6.9105,3.8047,8.8987,0.5883,1.0963,1.1503,0.3658,0.6724,0.4946,00808,Micropogonias undulatus,1995-08-09,ICHP-95-0848,1,"June 6, 2022",0302-0332,NA,8,Micropogonias,undulatus,ICHPLAN,ETOH,16,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
10,6.4597,7.7491,2.0368,1.1112,6.9119,4.1563,9.3239,0.6049,0.8768,1.0163,0.3303,0.7666,0.568,00809,Micropogonias undulatus,1995-08-09,ICHP-95-0848,1,"June 6, 2022",0302-0332,NA,7.5,Micropogonias,undulatus,ICHPLAN,ETOH,16,LSHCB,29,ICHPLAN,LSHCB,302,NA,NA,34,NA,21,NA,FLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
