n,Standardlength,Totallength,Depthatpec,Depthatanus,Pulsearea,Musclearea,Bodyarea,Cauddepth,Caudheight,Caudarea,Bodywidth,Interoctdistance,Eyediameter
1,8.6973,10.6178,2.6335,1.4799,12.2214,7.6609,14.9933,0.6728,1.3695,2.2777,,,0.7216
2,,,,,,,,,,,0.695,0.8037,
3,6.9768,8.241,2.0375,0.9295,6.5965,3.9852,9.4605,0.5904,1.072,1.4313,,,0.4829
4,,,,,,,,,,,0.4681,0.7216,
5,5.5096,6.2583,1.4228,0.8664,3.8496,2.5061,5.3059,0.382,0.7629,0.7061,,,0.468
6,,,,,,,,,,,0.3345,0.7247,
7,7.4312,8.8243,2.1203,1.0796,8.8205,5.3022,10.5366,0.6088,0.9284,1.2864,,,0.6204
8,,,,,,,,,,,0.4437,0.8734,
9,6.6676,7.0985,1.839,0.9805,6.1694,4.132,8.6665,0.5092,0.8599,0.5647,,,0.4892
10,,,,,,,,,,,0.3249,0.7759,
11,8.1331,9.7237,2.4224,1.2228,9.8234,5.3158,13.0869,0.7888,1.2396,1.8825,,,0.6134
12,,,,,,,,,,,0.4518,0.7895,
13,5.1929,6.0765,1.41,0.8021,4.319,2.4245,5.2805,0.3899,0.6725,0.5568,,,0.4499
14,,,,,,,,,,,0.3867,0.6563,
15,7.6911,8.5495,2.3732,1.1349,6.9577,4.3499,11.5904,0.5677,0.6485,0.8247,,,0.6008
16,,,,,,,,,,,0.4464,0.8299,
17,7.0502,8.0155,1.997,0.9547,6.9105,3.8047,8.8987,0.5883,1.0963,1.1503,,,0.4946
18,,,,,,,,,,,0.3658,0.6724,
19,6.4597,7.7491,2.0368,1.1112,6.9119,4.1563,9.3239,0.6049,0.8768,1.0163,,,0.568
20,,,,,,,,,,,0.3303,0.7666,
21,8.5744,10.5314,2.4729,1.3654,10.0683,6.3858,14.8898,0.8034,1.0452,1.9158,,,0.6542
22,,,,,,,,,,,0.36,0.8053,
23,5.7995,6.4099,1.4928,0.7626,4.3107,2.8103,5.9383,0.4992,0.8695,0.5141,,,0.421
24,,,,,,,,,,,0.352,0.7766,
25,7.1269,8.3815,2.069,0.9155,6.0609,3.7976,8.683,0.5508,0.7498,0.8865,,,0.5278
26,,,,,,,,,,,0.3231,0.6711,
27,4.9596,5.6585,1.2401,0.6017,3.0776,1.79,4.1018,0.3282,0.6571,0.4202,,,0.4191
28,,,,,,,,,,,0.3395,0.6784,
29,4.9327,5.8184,1.38,0.6605,3.2799,2.0141,4.5905,0.4057,0.7206,0.5401,,,0.4333
30,,,,,,,,,,,0.2866,0.5911,
31,9.4248,10.7935,2.4288,1.1145,8.5883,4.5681,14.6701,0.6799,1.1275,1.9348,,,0.636
32,,,,,,,,,,,0.632,0.7447,
33,7.3128,8.5887,2.0007,0.9343,7.4874,4.1629,9.8987,0.5537,1.2085,1.2444,,,0.5806
34,,,,,,,,,,,0.3713,0.8238,
35,7.5598,9.0851,1.9263,1.2669,7.4518,4.6162,10.0835,0.6299,1.0426,1.5336,,,0.4642
36,,,,,,,,,,,0.3782,0.6344,
37,6.8886,8.2395,2.0825,1.1479,6.8592,4.1314,9.9229,0.5696,0.9345,1.4564,,,0.5922
38,,,,,,,,,,,0.4179,0.6009,
39,8.7161,10.5962,2.4035,1.4098,10.3883,6.0698,15.3799,0.7415,1.0956,2.0927,,,0.7731
40,,,,,,,,,,,0.4535,0.8344,
41,6.9658,8.4285,1.9001,1.0776,6.8958,4.1797,9.4856,0.5701,0.9416,1.33,,,0.519
42,,,,,,,,,,,0.3905,0.691,
43,5.8065,6.6507,1.2249,0.4129,2.45,1.5398,4.8649,0.4306,0.8243,0.5796,,,0.4755
44,,,,,,,,,,,0.4076,0.6494,
45,6.2489,7.2776,1.5996,0.816,4.7344,2.895,7.242,0.4595,0.7439,0.7335,,,0.489
46,,,,,,,,,,,0.3823,0.6572,
47,4.497,5.3121,1.5096,0.7678,3.0157,1.7761,4.5971,0.3839,0.543,0.5079,,,0.4219
48,,,,,,,,,,,0.3443,0.4683,
49,9.1998,11.1283,2.7271,1.3903,11.1595,6.3013,18.9375,0.7658,1.1761,2.0469,,,0.7331
50,,,,,,,,,,,0.539,1.0489,
51,6.1835,7.3617,1.7699,0.9355,5.7968,3.3463,7.044,0.4898,0.7932,0.9089,,,0.4937
52,,,,,,,,,,,0.503,0.7379,
53,5.4362,6.5161,1.5677,0.8402,4.8591,2.8017,6.029,0.4863,0.8296,0.9924,,,0.4818
54,,,,,,,,,,,0.3866,0.6458,
55,8.4022,10.3683,2.505,1.3169,10.7532,6.2622,14.3071,0.7934,1.2133,1.8934,,,0.651
56,,,,,,,,,,,0.5716,0.8656,
57,4.7089,5.3746,1.5461,0.686,2.8722,1.8845,4.8321,0.3157,0.5703,0.3785,,,0.4002
58,,,,,,,,,,,0.3298,0.3784,
59,5.9252,6.9312,1.6649,0.8389,4.8651,2.8123,6.7194,0.4188,0.8615,0.951,,,0.4631
60,,,,,,,,,,,0.3986,0.6212,
61,6.6623,7.7168,1.7906,0.9537,6.6102,3.8202,8.5788,0.5781,0.8973,1.1432,,,0.5911
62,,,,,,,,,,,0.386,0.7489,
63,7.8236,9.2299,2.2208,1.1393,8.9347,4.9972,12.0537,0.5703,1.1758,1.4625,,,0.5907
64,,,,,,,,,,,0.4383,0.733,
65,5.9383,6.8026,1.6498,0.6798,4.7279,2.5703,5.9244,0.3549,0.854,0.7237,,,0.4285
66,,,,,,,,,,,0.2798,0.5397,
67,10.4424,13.0137,2.8435,2.1876,15.9318,10.2012,21.6168,0.8947,1.1228,1.99,,,0.7671
68,,,,,,,,,,,0.8013,1.0779,
69,12.1243,15.5852,3.3446,2.2792,23.8386,14.4012,29.9645,1.0294,1.8433,5.7093,,,0.8945
70,,,,,,,,,,,0.7429,1.2354,
71,8.9952,10.7447,2.3711,1.6067,9.8048,6.8287,14.7498,0.6299,0.8551,1.1519,,,0.4807
72,,,,,,,,,,,0.486,0.9299,
73,8.3884,10.6772,2.3528,1.6474,10.5721,7.1084,14.4398,0.7516,0.9622,1.8228,,,0.5724
74,,,,,,,,,,,0.5872,0.9025,
75,9.3814,11.1139,2.4816,1.7482,12.8578,8.8008,17.0365,0.7694,1.1895,1.8474,,,0.5547
76,,,,,,,,,,,0.4548,0.6376,
77,9.2649,11.2217,2.6237,1.7454,12.3429,8.5139,16.3965,0.8176,0.8975,1.6351,,,0.6454
78,,,,,,,,,,,0.4221,0.5146,
79,6.5054,6.826,1.8033,1.2517,5.4666,4.1801,8.9135,0.5817,0.7945,0.2748,,,0.441
80,,,,,,,,,,,0.3003,0.5625,
81,9.1244,10.5676,2.37,1.6562,12.4162,8.5761,15.8645,0.935,1.3316,1.9084,,,0.6123
82,,,,,,,,,,,0.4687,0.8298,
83,9.7908,11.7637,2.482,1.8505,11.7381,7.9933,18.0565,0.9252,1.1064,2.0443,,,0.5738
84,,,,,,,,,,,0.614,0.7121,
85,9.5893,11.667,2.4971,1.8867,12.657,8.1656,17.4629,0.888,1.3191,2.2395,,,0.652
86,,,,,,,,,,,0.5411,0.7551,
87,10.5023,12.9107,2.748,2.0611,16.7146,10.7691,21.0132,0.8916,1.2892,2.6517,,,0.7894
88,,,,,,,,,,,0.4278,0.6974,
89,8.4003,10.1798,2.3829,1.5257,10.7533,7.182,14.5185,0.822,0.9597,1.3346,,,0.6427
90,,,,,,,,,,,0.3945,0.6371,
91,6.3415,7.1047,1.5113,1.1188,4.678,3.53,7.1625,0.5308,0.7033,0.4919,,,0.4816
