n,Standardlength,Totallength,Depthatpec,Depthatanus,Pulsearea,Musclearea,Bodyarea,Cauddepth,Caudheight,Caudarea,Bodywidth,Interoctdistance,Eyediameter
1,10.0546,12.6152,2.6806,1.8726,14.5043,9.4304,19.1651,0.8491,1.0269,2.895,,,0.692
2,,,,,,,,,,,0.4654,0.6986,
3,10.0455,12.1916,2.7168,1.9801,13.9331,10.3214,19.6097,0.6892,0.8541,1.5772,,,0.634
4,,,,,,,,,,,0.6264,0.8027,
5,10.4018,11.9613,2.8238,1.8447,14.9336,9.438,20.3554,0.8673,1.1581,1.8784,,,0.6911
6,,,,,,,,,,,0.867,0.8406,
7,9.4264,11.5192,2.5952,1.806,13.7518,8.7161,16.5449,0.7644,1.1465,2.2019,,,0.6921
8,,,,,,,,,,,0.5591,0.7657,
9,9.9025,12.0782,2.5441,1.792,11.6746,9.5437,18.8045,0.8272,0.8673,0.8952,,,0.6873
10,,,,,,,,,,,0.6294,0.675,
11,10.0916,12.612,2.6075,1.8953,14.4284,9.2391,18.5237,0.8052,1.3137,2.572,,,0.7506
12,,,,,,,,,,,0.7343,0.7215,
13,11.1165,14.1843,3.141,2.1276,17.8072,10.3151,22.7646,0.9049,1.361,3.146,,,0.8165
14,,,,,,,,,,,0.7587,0.9336,
15,9.7875,12.217,2.5485,1.6592,12.446,8.7794,17.1562,0.7528,0.9064,1.4396,,,0.6078
16,,,,,,,,,,,0.7168,0.8663,
17,8.8502,10.8786,2.2679,1.5235,10.3542,6.4749,14.0982,0.6629,1.0272,1.419,,,0.5857
18,,,,,,,,,,,0.6898,0.7259,
19,5.3673,6.3203,1.3874,1.0326,3.9804,2.6379,5.1006,0.3971,0.6562,0.5717,,,0.3572
20,,,,,,,,,,,0.2744,0.4291,
21,6.3891,7.9978,1.7149,1.138,6.1218,3.6088,7.7386,0.5162,0.9275,1.2949,,,0.4732
22,,,,,,,,,,,0.3032,0.5647,
23,7.0726,8.7753,1.7423,1.1256,7.0439,3.752,8.8918,0.5581,0.9095,1.6929,,,0.4828
24,,,,,,,,,,,0.3415,0.6043,
25,7.584,9.0492,2.0027,1.4405,9.2809,5.5879,10.6726,0.7257,1.1522,1.7386,,,0.5313
26,,,,,,,,,,,0.4706,0.61,
27,6.4697,8.115,1.8376,1.1275,5.6738,3.4986,7.8236,0.4885,0.7698,0.9703,,,0.4942
28,,,,,,,,,,,0.408,0.5031,
29,7.479,9.3164,1.9178,1.3928,8.3928,4.8268,10.4279,0.5566,1.0635,1.7893,,,0.4876
30,,,,,,,,,,,0.5929,0.781,
31,7.7621,9.8212,2.0657,1.232,8.3174,4.5313,11.8491,0.5951,1.2237,2.271,,,0.4771
32,,,,,,,,,,,0.3459,0.8477,
33,8.2109,10.6509,2.3986,1.529,11.4007,6.2781,13.7897,0.6653,1.1587,2.3873,,,0.585
34,,,,,,,,,,,0.646,0.8151,
35,7.4507,9.3746,2.0335,1.3746,8.0134,4.8631,10.544,0.604,1.0875,1.99,,,0.4852
36,,,,,,,,,,,0.352,0.6588,
37,8.046,9.8516,2.0254,1.4928,9.0457,4.9877,12.9525,0.6798,1.0762,2.1002,,,0.4946
38,,,,,,,,,,,0.3772,0.6488,
39,8.3534,9.9612,2.2699,1.4314,10.0666,5.904,12.8488,0.6494,1.0476,1.7804,,,0.4744
40,,,,,,,,,,,0.4491,0.6474,
