Spp,Tow_date,Code,Standardlength,Totallength,Depthatpec,Depthatanus,Bodyarea,Musclearea,Pulsearea,Bodywidth,Caudarea,Cauddepth,Caudheight,Eyediameter,Interoctdistance,SST
Micropogonias undulatus,1995-08-09,00800,8.6973,10.6178,2.6335,1.4799,14.9933,7.6609,12.2214,0.695,2.2777,0.6728,1.3695,0.7216,0.8037,21
Micropogonias undulatus,1995-08-09,00801,6.9768,8.241,2.0375,0.9295,9.4605,3.9852,6.5965,0.4681,1.4313,0.5904,1.072,0.4829,0.7216,21
Micropogonias undulatus,1995-08-09,00802,5.5096,6.2583,1.4228,0.8664,5.3059,2.5061,3.8496,0.3345,0.7061,0.382,0.7629,0.468,0.7247,21
Micropogonias undulatus,1995-08-09,00803,7.4312,8.8243,2.1203,1.0796,10.5366,5.3022,8.8205,0.4437,1.2864,0.6088,0.9284,0.6204,0.8734,21
Micropogonias undulatus,1995-08-09,00804,6.6676,7.0985,1.839,0.9805,8.6665,4.132,6.1694,0.3249,0.5647,0.5092,0.8599,0.4892,0.7759,21
Micropogonias undulatus,1995-08-09,00805,8.1331,9.7237,2.4224,1.2228,13.0869,5.3158,9.8234,0.4518,1.8825,0.7888,1.2396,0.6134,0.7895,21
Micropogonias undulatus,1995-08-09,00806,5.1929,6.0765,1.41,0.8021,5.2805,2.4245,4.319,0.3867,0.5568,0.3899,0.6725,0.4499,0.6563,21
Micropogonias undulatus,1995-08-09,00807,7.6911,8.5495,2.3732,1.1349,11.5904,4.3499,6.9577,0.4464,0.8247,0.5677,0.6485,0.6008,0.8299,21
Micropogonias undulatus,1995-08-09,00808,7.0502,8.0155,1.997,0.9547,8.8987,3.8047,6.9105,0.3658,1.1503,0.5883,1.0963,0.4946,0.6724,21
Micropogonias undulatus,1995-08-09,00809,6.4597,7.7491,2.0368,1.1112,9.3239,4.1563,6.9119,0.3303,1.0163,0.6049,0.8768,0.568,0.7666,21
Micropogonias undulatus,1995-08-09,00810,74.4721,91.469,21.4779,11.8592,1123.2207,481.7179,759.5112,0.36,144.518,6.978,9.0781,5.6818,0.8053,21
Micropogonias undulatus,1995-08-09,00811,5.7995,6.4099,1.4928,0.7626,5.9383,2.8103,4.3107,0.352,0.5141,0.4992,0.8695,0.421,0.7766,21
Micropogonias undulatus,1995-08-09,00812,7.1269,8.3815,2.069,0.9155,8.683,3.7976,6.0609,0.3231,0.8865,0.5508,0.7498,0.5278,0.6711,21
Micropogonias undulatus,1995-08-09,00813,4.9596,5.6585,1.2401,0.6017,4.1018,1.79,3.0776,0.3395,0.4202,0.3282,0.6571,0.4191,0.6784,21
Micropogonias undulatus,1995-08-09,00814,4.9327,5.8184,1.38,0.6605,4.5905,2.0141,3.2799,0.2866,0.5401,0.4057,0.7206,0.4333,0.5911,21
Micropogonias undulatus,1995-08-09,00815,9.4248,10.7935,2.4288,1.1145,14.6701,4.5681,8.5883,0.632,1.9348,0.6799,1.1275,0.636,0.7447,21
Micropogonias undulatus,1995-08-09,00816,7.3128,8.5887,2.0007,0.9343,9.8987,4.1629,7.4874,0.3713,1.2444,0.5537,1.2085,0.5806,0.8238,21
Micropogonias undulatus,1995-08-09,00817,7.5598,9.0851,1.9263,1.2669,10.0835,4.6162,7.4518,0.3782,1.5336,0.6299,1.0426,0.4642,0.6344,21
Micropogonias undulatus,1995-08-09,00818,6.8886,8.2395,2.0825,1.1479,9.9229,4.1314,6.8592,0.4179,1.4564,0.5696,0.9345,0.5922,0.6009,21
Micropogonias undulatus,1995-08-09,00819,8.7161,10.5962,2.4035,1.4098,15.3799,6.0698,10.3883,0.4535,2.0927,0.7415,1.0956,0.7731,0.8344,21
Micropogonias undulatus,1995-08-09,00820,6.9658,8.4285,1.9001,1.0776,9.4856,4.1797,6.8958,0.3905,1.33,0.5701,0.9416,0.519,0.691,21
Micropogonias undulatus,1995-08-09,00821,5.8065,6.6507,1.2249,0.4129,4.8649,1.5398,2.45,0.4076,0.5796,0.4306,0.8243,0.4755,0.6494,21
Micropogonias undulatus,1995-08-09,00822,6.2489,7.2776,1.5996,0.816,7.242,2.895,4.7344,0.3823,0.7335,0.4595,0.7439,0.489,0.6572,21
